job_type,average_salary
"Industrial Machinery Installation, Repair, and Maintenance Workers","60,390"
Industrial Machinery Mechanics,"60,990"
Industrial Production Managers,"120,900"
Industrial Truck and Tractor Operators,"43,240"
Industrial-Organizational Psychologists,"144,610"
Information and Record Clerks,"40,500"
"Information and Record Clerks, All Other","45,910"
Information Security Analysts,"119,860"
"Inspectors, Testers, Sorters, Samplers, and Weighers","47,290"
"Installation, Maintenance, and Repair Occupations","55,680"
"Installation, Maintenance, and Repair Workers, All Other","47,800"
Instructional Coordinators,"73,080"
Insulation Workers,"53,330"
"Insulation Workers, Floor, Ceiling, and Wall","48,870"
"Insulation Workers, Mechanical","59,100"
"Insurance Appraisers, Auto Damage","71,580"
Insurance Claims and Policy Processing Clerks,"47,840"
Insurance Sales Agents,"76,950"
Insurance Underwriters,"82,990"
Interior Designers,"67,460"
Interpreters and Translators,"61,730"
"Interviewers, Except Eligibility and Loan","41,140"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","33,960"
Jewelers and Precious Stone and Metal Workers,"50,530"
"Judges, Magistrate Judges, and Magistrates","153,700"
"Judges, Magistrates, and Other Judicial Workers","130,380"
Judicial Law Clerks,"66,310"
"Kindergarten Teachers, Except Special Education","65,120"
Labor Relations Specialists,"87,470"
"Laborers and Freight, Stock, and Material Movers, Hand","37,510"
Laborers and Material Movers,"36,050"
Landscape Architects,"77,820"
Landscaping and Groundskeeping Workers,"37,270"
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","47,820"
Laundry and Dry-Cleaning Workers,"29,660"
Law Enforcement Workers,"67,580"
"Law Teachers, Postsecondary","133,950"
"Law, Criminal Justice, and Social Work Teachers, Postsecondary","97,900"
Lawyers,"163,770"
Lawyers and Judicial Law Clerks,"161,680"
"Lawyers, Judges, and Related Workers","159,710"
"Layout Workers, Metal and Plastic","56,170"
Legal Occupations,"124,540"
Legal Secretaries and Administrative Assistants,"54,180"
Legal Support Workers,"63,640"
"Legal Support Workers, All Other","77,200"
Legislators,"71,100"
Librarians and Media Collections Specialists,"64,770"
"Librarians, Curators, and Archivists","56,750"
"Library Assistants, Clerical","33,980"
"Library Science Teachers, Postsecondary","81,720"
Library Technicians,"40,590"
Licensed Practical and Licensed Vocational Nurses,"55,860"
"Life Sciences Teachers, Postsecondary","97,650"
Life Scientists,"96,840"
"Life Scientists, All Other","100,370"
"Life, Physical, and Social Science Occupations","83,640"
"Life, Physical, and Social Science Technicians","55,900"
"Life, Physical, and Social Science Technicians, All Other","57,790"
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","28,370"
Light Truck Drivers,"45,020"
Lighting Technicians,"74,020"
Line Installers and Repairers,"74,010"
"Loading and Moving Machine Operators, Underground Mining","62,420"
Loan Interviewers and Clerks,"46,740"
Loan Officers,"84,160"
"Locker Room, Coatroom, and Dressing Room Attendants","32,560"
Locksmiths and Safe Repairers,"50,210"
Locomotive Engineers,"73,850"
Locomotive Engineers and Operators,"72,790"
Lodging Managers,"73,230"
Log Graders and Scalers,"44,570"
Logging Equipment Operators,"46,570"
Logging Workers,"47,900"
"Logging Workers, All Other","47,850"
Logisticians,"81,220"
Logisticians and Project Management Specialists,"97,660"
Machine Feeders and Offbearers,"39,100"
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic","42,990"
Machinists,"51,430"
Magnetic Resonance Imaging Technologists,"81,530"
Maids and Housekeeping Cleaners,"31,920"
"Mail Clerks and Mail Machine Operators, Except Postal Service","36,210"
"Maintenance and Repair Workers, General","47,130"
"Maintenance Workers, Machinery","55,910"
"Makeup Artists, Theatrical and Performance","93,850"
Management Analysts,"104,660"
Management Occupations,"131,200"
"Managers, All Other","141,190"
Manicurists and Pedicurists,"33,560"
Manufactured Building and Mobile Home Installers,"38,020"
Marine Engineers and Naval Architects,"105,560"
Market Research Analysts and Marketing Specialists,"78,880"
Marketing and Sales Managers,"153,470"
Marketing Managers,"158,280"
Marriage and Family Therapists,"63,300"
Massage Therapists,"57,060"
Material Moving Workers,"37,270"
"Material Moving Workers, All Other","43,290"
"Material Recording, Scheduling, Dispatching, and Distributing Workers","47,770"
Materials Engineers,"105,420"
Materials Scientists,"110,690"
"Math and Computer Science Teachers, Postsecondary","93,690"
Mathematical Science Occupations,"108,620"
"Mathematical Science Occupations, All Other","82,160"
"Mathematical Science Teachers, Postsecondary","90,110"
Mathematicians,"113,860"
"Meat, Poultry, and Fish Cutters and Trimmers","35,090"
Mechanical Door Repairers,"48,400"
Mechanical Drafters,"65,700"
Mechanical Engineering Technologists and Technicians,"64,530"
Mechanical Engineers,"100,820"
Media and Communication Equipment Workers,"67,310"
"Media and Communication Equipment Workers, All Other","74,490"
Media and Communication Workers,"84,890"
"Media and Communication Workers, All Other","113,840"
Medical and Health Services Managers,"127,980"
Medical Appliance Technicians,"46,240"
Medical Assistants,"40,700"
Medical Dosimetrists,"129,080"
